attachments,author_id,created_at,description,entities,geo,id,index,lang,location,name,possibly_sensitive,public_metrics,source,text,username,verified,istranslated
{},740989553960452096,2022-09-21T05:45:43.000Z,"Independent Defense Analysis, Submarines, #OSINT, illustrations. Author of Covert Shores books. Write for @USNINews, @navalnewscom and more

Mostly typos.","{'hashtags': [{'start': 49, 'end': 57, 'tag': 'Chinese'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'CovertShores', 'id': '740989553960452096'}]}",{},1572462054958854144,0,en,,H I Sutton,False,"{'retweet_count': 25, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"RT @CovertShores: The now-famous dry dock at the #Chinese Navy base on Hainan, big enough for the new aircraft carriers, is approximately 9…",CovertShores,True,0
{},1705332612,2022-09-21T06:04:24.000Z,"Satellite imagery nerd | Worked with @Cen4infoRes & @lemondefr | Views are my own, RT ≠ endorsement |  https://t.co/jAZwugK16N","{'urls': [{'start': 20, 'end': 43, 'url': 'https://t.co/ByBukIgL9r', 'expanded_url': 'https://twitter.com/dalperovitch/status/1572465816741847045', 'display_url': 'twitter.com/dalperovitch/s…'}]}",{},1572466755322408962,0,en,Switzerland ,Benjamin Pittet,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,Putin TV address 🧵👇 https://t.co/ByBukIgL9r,COUPSURE,False,0
{},1188329290162675713,2022-09-21T06:05:05.000Z,"Defense ""journalist"". @TheOsintBunker cohost and editor. Slightly lost American with @UKDefJournal

https://t.co/vSNeeYvxOZ","{'annotations': [{'start': 6, 'end': 10, 'probability': 0.9082, 'type': 'Person', 'normalized_text': 'Putin'}, {'start': 46, 'end': 51, 'probability': 0.995, 'type': 'Place', 'normalized_text': 'Russia'}], 'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/msxjy9ghlZ', 'expanded_url': 'https://tass.ru/politika/15816165', 'display_url': 'tass.ru/politika/15816…', 'status': 200, 'unwound_url': 'https://tass.ru/politika/15816165'}]}",{},1572466927007682560,0,en,Depends on the week,OSINTtechnical,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,"TASS- Putin announced partial mobilization in Russia

https://t.co/msxjy9ghlZ",Osinttechnical,False,0
{},1188329290162675713,2022-09-21T06:06:27.000Z,"Defense ""journalist"". @TheOsintBunker cohost and editor. Slightly lost American with @UKDefJournal

https://t.co/vSNeeYvxOZ","{'mentions': [{'start': 4, 'end': 17, 'username': 'DAlperovitch', 'id': '314587185'}], 'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/E6nw7FBBoW', 'expanded_url': 'https://twitter.com/dalperovitch/status/1572465816741847045', 'display_url': 'twitter.com/dalperovitch/s…'}]}",{},1572467273801031681,0,en,Depends on the week,OSINTtechnical,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,H/t @DAlperovitch for his summary https://t.co/E6nw7FBBoW,Osinttechnical,False,0
{},1705332612,2022-09-21T06:08:02.000Z,"Satellite imagery nerd | Worked with @Cen4infoRes & @lemondefr | Views are my own, RT ≠ endorsement |  https://t.co/jAZwugK16N","{'mentions': [{'start': 3, 'end': 14, 'username': 'ragipsoylu', 'id': '146958450'}]}",{},1572467670989275136,0,en,Switzerland ,Benjamin Pittet,False,"{'retweet_count': 36, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,"RT @ragipsoylu: BREAKING: Putin declares partial mobilization, the decree has been signed.

 “Only citizens who are currently in the reserv…",COUPSURE,False,0
{},1188329290162675713,2022-09-21T06:08:31.000Z,"Defense ""journalist"". @TheOsintBunker cohost and editor. Slightly lost American with @UKDefJournal

https://t.co/vSNeeYvxOZ","{'urls': [{'start': 44, 'end': 67, 'url': 'https://t.co/emslu3Dc7x', 'expanded_url': 'https://twitter.com/ragipsoylu/status/1572467206339919875', 'display_url': 'twitter.com/ragipsoylu/sta…'}]}",{},1572467792984539139,0,en,Depends on the week,OSINTtechnical,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,Looks like a partial call up of reservists. https://t.co/emslu3Dc7x,Osinttechnical,False,0
{},1705332612,2022-09-21T06:10:54.000Z,"Satellite imagery nerd | Worked with @Cen4infoRes & @lemondefr | Views are my own, RT ≠ endorsement |  https://t.co/jAZwugK16N",{},{},1572468393231650820,0,en,Switzerland ,Benjamin Pittet,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,Putin orders partial mobilization in Russia.,COUPSURE,False,0
{},1188329290162675713,2022-09-21T06:11:23.000Z,"Defense ""journalist"". @TheOsintBunker cohost and editor. Slightly lost American with @UKDefJournal

https://t.co/vSNeeYvxOZ",{},{},1572468512895160322,0,en,Depends on the week,OSINTtechnical,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,IMO Russia may not have enough equipment to actually take a more drastic step in increasing manpower. Units are already relying on pre-Ratnik gear and T-62Ms from the 70s and 80s.,Osinttechnical,False,0
{},1705332612,2022-09-21T06:11:40.000Z,"Satellite imagery nerd | Worked with @Cen4infoRes & @lemondefr | Views are my own, RT ≠ endorsement |  https://t.co/jAZwugK16N","{'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/6lM8Eh4118', 'expanded_url': 'https://twitter.com/DAlperovitch/status/1572468458650206208?s=20&t=Q9ulCyfykzpNJi-NQj5_Kw', 'display_url': 'twitter.com/DAlperovitch/s…'}]}",{},1572468584408027136,0,en,Switzerland ,Benjamin Pittet,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,Mobilization starts today. https://t.co/6lM8Eh4118,COUPSURE,False,0
{},1188329290162675713,2022-09-21T06:15:39.000Z,"Defense ""journalist"". @TheOsintBunker cohost and editor. Slightly lost American with @UKDefJournal

https://t.co/vSNeeYvxOZ","{'annotations': [{'start': 48, 'end': 51, 'probability': 0.4752, 'type': 'Organization', 'normalized_text': 'NCOs'}, {'start': 145, 'end': 151, 'probability': 0.9934, 'type': 'Place', 'normalized_text': 'Ukraine'}]}",{},1572469587329036288,0,en,Depends on the week,OSINTtechnical,False,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone,They’re probably going to pull more experienced NCOs and other former enlisteds to fill the ranks of the critically undermanned units already in Ukraine.,Osinttechnical,False,0
